drink_name,category,brand,price_usd,alcohol_level_abv,taste_node,availability_score,place_type
Vodka 79,spirits/cocktails,Captain Morgan,66.5,13.0,Dry / Crisp,Medium,global
Aged Bourbon 80,spirits/cocktails,Don Julio,67.25,14.0,Nutty / Woody,High,global
Bourbon 81,spirits/cocktails,Jameson,68.0,15.0,Sweet,High,global
Rye Whiskey 82,spirits/cocktails,Jack Daniel's,68.75,16.0,Spicy,Medium,global
Gin 83,spirits/cocktails,Johnnie Walker,69.5,17.0,Citrusy / Sour,High,global
Gin 84,spirits/cocktails,Glenfiddich,70.25,18.0,Herbal / Floral,High,global
Scotch 85,spirits/cocktails,Gordon's,71.0,19.0,Smoky,Medium,global
Cognac 86,wine,Tanqueray,71.75,20.0,Rich / Fruity,High,global
Vodka 87,spirits/cocktails,Bacardi,72.5,21.0,Dry / Crisp,High,global
Aged Bourbon 88,spirits/cocktails,Patron,73.25,22.0,Nutty / Woody,Medium,global
Bourbon 89,spirits/cocktails,Absolut,74.0,23.0,Sweet,High,global
Rye Whiskey 90,spirits/cocktails,Smirnoff,74.75,24.0,Spicy,High,global
Gin 91,spirits/cocktails,Moet & Chandon,75.5,25.0,Citrusy / Sour,Medium,global
Gin 92,spirits/cocktails,La Marca,76.25,26.0,Herbal / Floral,High,global
Scotch 93,spirits/cocktails,Barefoot,77.0,27.0,Smoky,High,global
Cognac 94,wine,Robert Mondavi,77.75,28.0,Rich / Fruity,Medium,global
Vodka 95,spirits/cocktails,Kim Crawford,78.5,29.0,Dry / Crisp,High,global
Aged Bourbon 96,spirits/cocktails,Crown Royal,79.25,30.0,Nutty / Woody,High,global
Bourbon 97,spirits/cocktails,Buffalo Trace,80.0,31.0,Sweet,Medium,global
Rye Whiskey 98,spirits/cocktails,Bulleit,80.75,32.0,Spicy,High,global
Gin 99,spirits/cocktails,Captain Morgan,81.5,33.0,Citrusy / Sour,High,global
Gin 100,spirits/cocktails,Don Julio,82.25,34.0,Herbal / Floral,Medium,global
Scotch 101,spirits/cocktails,Jameson,83.0,35.0,Smoky,High,global
Cognac 102,wine,Jack Daniel's,83.75,36.0,Rich / Fruity,High,global
Vodka 103,spirits/cocktails,Johnnie Walker,84.5,37.0,Dry / Crisp,Medium,global
Aged Bourbon 104,spirits/cocktails,Glenfiddich,85.25,38.0,Nutty / Woody,High,global
Bourbon 105,spirits/cocktails,Gordon's,86.0,39.0,Sweet,High,global
Rye Whiskey 106,spirits/cocktails,Tanqueray,86.75,5.0,Spicy,Medium,global
Gin 107,spirits/cocktails,Bacardi,87.5,6.0,Citrusy / Sour,High,global
Gin 108,spirits/cocktails,Patron,88.25,7.0,Herbal / Floral,High,global
Scotch 109,spirits/cocktails,Absolut,89.0,8.0,Smoky,Medium,global
Cognac 110,wine,Smirnoff,89.75,9.0,Rich / Fruity,High,global
Vodka 111,spirits/cocktails,Moet & Chandon,90.5,10.0,Dry / Crisp,High,global
Aged Bourbon 112,spirits/cocktails,La Marca,91.25,11.0,Nutty / Woody,Medium,global
Bourbon 113,spirits/cocktails,Barefoot,92.0,12.0,Sweet,High,global
Rye Whiskey 114,spirits/cocktails,Robert Mondavi,92.75,13.0,Spicy,High,global
Gin 115,spirits/cocktails,Kim Crawford,93.5,14.0,Citrusy / Sour,Medium,global
Gin 116,spirits/cocktails,Crown Royal,94.25,15.0,Herbal / Floral,High,global
Scotch 117,spirits/cocktails,Buffalo Trace,95.0,16.0,Smoky,High,global
Cognac 118,wine,Bulleit,95.75,17.0,Rich / Fruity,Medium,global
Vodka 119,spirits/cocktails,Captain Morgan,96.5,18.0,Dry / Crisp,High,global
Aged Bourbon 120,spirits/cocktails,Don Julio,97.25,19.0,Nutty / Woody,High,global
Bourbon 121,spirits/cocktails,Jameson,8.0,20.0,Sweet,Medium,global
Rye Whiskey 122,spirits/cocktails,Jack Daniel's,8.75,21.0,Spicy,High,global
Gin 123,spirits/cocktails,Johnnie Walker,9.5,22.0,Citrusy / Sour,High,global
Gin 124,spirits/cocktails,Glenfiddich,10.25,23.0,Herbal / Floral,Medium,global
Scotch 125,spirits/cocktails,Gordon's,11.0,24.0,Smoky,High,global
Cognac 126,wine,Tanqueray,11.75,25.0,Rich / Fruity,High,global
Vodka 127,spirits/cocktails,Bacardi,12.5,26.0,Dry / Crisp,Medium,global
Aged Bourbon 128,spirits/cocktails,Patron,13.25,27.0,Nutty / Woody,High,global
Bourbon 129,spirits/cocktails,Absolut,14.0,28.0,Sweet,High,global
Rye Whiskey 130,spirits/cocktails,Smirnoff,14.75,29.0,Spicy,Medium,global
Gin 131,spirits/cocktails,Moet & Chandon,15.5,30.0,Citrusy / Sour,High,global
Gin 132,spirits/cocktails,La Marca,16.25,31.0,Herbal / Floral,High,global
Scotch 133,spirits/cocktails,Barefoot,17.0,32.0,Smoky,Medium,global
Cognac 134,wine,Robert Mondavi,17.75,33.0,Rich / Fruity,High,global
Vodka 135,spirits/cocktails,Kim Crawford,18.5,34.0,Dry / Crisp,High,global
Aged Bourbon 136,spirits/cocktails,Crown Royal,19.25,35.0,Nutty / Woody,Medium,global
Bourbon 137,spirits/cocktails,Buffalo Trace,20.0,36.0,Sweet,High,global
Rye Whiskey 138,spirits/cocktails,Bulleit,20.75,37.0,Spicy,High,global
Gin 139,spirits/cocktails,Captain Morgan,21.5,38.0,Citrusy / Sour,Medium,global
Gin 140,spirits/cocktails,Don Julio,22.25,39.0,Herbal / Floral,High,global
Scotch 141,spirits/cocktails,Jameson,23.0,5.0,Smoky,High,global
Cognac 142,wine,Jack Daniel's,23.75,6.0,Rich / Fruity,Medium,global
Vodka 143,spirits/cocktails,Johnnie Walker,24.5,7.0,Dry / Crisp,High,global
Aged Bourbon 144,spirits/cocktails,Glenfiddich,25.25,8.0,Nutty / Woody,High,global
Bourbon 145,spirits/cocktails,Gordon's,26.0,9.0,Sweet,Medium,global
Rye Whiskey 146,spirits/cocktails,Tanqueray,26.75,10.0,Spicy,High,global
Gin 147,spirits/cocktails,Bacardi,27.5,11.0,Citrusy / Sour,High,global
Gin 148,spirits/cocktails,Patron,28.25,12.0,Herbal / Floral,Medium,global
Scotch 149,spirits/cocktails,Absolut,29.0,13.0,Smoky,High,global
Cognac 150,wine,Smirnoff,29.75,14.0,Rich / Fruity,High,global
Vodka 151,spirits/cocktails,Moet & Chandon,30.5,15.0,Dry / Crisp,Medium,global
Aged Bourbon 152,spirits/cocktails,La Marca,31.25,16.0,Nutty / Woody,High,global
Bourbon 153,spirits/cocktails,Barefoot,32.0,17.0,Sweet,High,global
Rye Whiskey 154,spirits/cocktails,Robert Mondavi,32.75,18.0,Spicy,Medium,global
Gin 155,spirits/cocktails,Kim Crawford,33.5,19.0,Citrusy / Sour,High,global
Gin 156,spirits/cocktails,Crown Royal,34.25,20.0,Herbal / Floral,High,global
Scotch 157,spirits/cocktails,Buffalo Trace,35.0,21.0,Smoky,Medium,global
Cognac 158,wine,Bulleit,35.75,22.0,Rich / Fruity,High,global
Vodka 159,spirits/cocktails,Captain Morgan,36.5,23.0,Dry / Crisp,High,global
Aged Bourbon 160,spirits/cocktails,Don Julio,37.25,24.0,Nutty / Woody,Medium,global
Bourbon 161,spirits/cocktails,Jameson,38.0,25.0,Sweet,High,global
Rye Whiskey 162,spirits/cocktails,Jack Daniel's,38.75,26.0,Spicy,High,global
Gin 163,spirits/cocktails,Johnnie Walker,39.5,27.0,Citrusy / Sour,Medium,global
Gin 164,spirits/cocktails,Glenfiddich,40.25,28.0,Herbal / Floral,High,global
Scotch 165,spirits/cocktails,Gordon's,41.0,29.0,Smoky,High,global
Cognac 166,wine,Tanqueray,41.75,30.0,Rich / Fruity,Medium,global
Vodka 167,spirits/cocktails,Bacardi,42.5,31.0,Dry / Crisp,High,global
Aged Bourbon 168,spirits/cocktails,Patron,43.25,32.0,Nutty / Woody,High,global
Bourbon 169,spirits/cocktails,Absolut,44.0,33.0,Sweet,Medium,global
Rye Whiskey 170,spirits/cocktails,Smirnoff,44.75,34.0,Spicy,High,global
Gin 171,spirits/cocktails,Moet & Chandon,45.5,35.0,Citrusy / Sour,High,global
Gin 172,spirits/cocktails,La Marca,46.25,36.0,Herbal / Floral,Medium,global
Scotch 173,spirits/cocktails,Barefoot,47.0,37.0,Smoky,High,global
Cognac 174,wine,Robert Mondavi,47.75,38.0,Rich / Fruity,High,global
Vodka 175,spirits/cocktails,Kim Crawford,48.5,39.0,Dry / Crisp,Medium,global
Aged Bourbon 176,spirits/cocktails,Crown Royal,49.25,5.0,Nutty / Woody,High,global
Bourbon 177,spirits/cocktails,Buffalo Trace,50.0,6.0,Sweet,High,global
Rye Whiskey 178,spirits/cocktails,Bulleit,50.75,7.0,Spicy,Medium,global
Gin 179,spirits/cocktails,Captain Morgan,51.5,8.0,Citrusy / Sour,High,global
Gin 180,spirits/cocktails,Don Julio,52.25,9.0,Herbal / Floral,High,global
Scotch 181,spirits/cocktails,Jameson,53.0,10.0,Smoky,Medium,global
Cognac 182,wine,Jack Daniel's,53.75,11.0,Rich / Fruity,High,global
Vodka 183,spirits/cocktails,Johnnie Walker,54.5,12.0,Dry / Crisp,High,global
Aged Bourbon 184,spirits/cocktails,Glenfiddich,55.25,13.0,Nutty / Woody,Medium,global
Bourbon 185,spirits/cocktails,Gordon's,56.0,14.0,Sweet,High,global
Rye Whiskey 186,spirits/cocktails,Tanqueray,56.75,15.0,Spicy,High,global
Gin 187,spirits/cocktails,Bacardi,57.5,16.0,Citrusy / Sour,Medium,global
Gin 188,spirits/cocktails,Patron,58.25,17.0,Herbal / Floral,High,global
Scotch 189,spirits/cocktails,Absolut,59.0,18.0,Smoky,High,global
Cognac 190,wine,Smirnoff,59.75,19.0,Rich / Fruity,Medium,global
Vodka 191,spirits/cocktails,Moet & Chandon,60.5,20.0,Dry / Crisp,High,global
Aged Bourbon 192,spirits/cocktails,La Marca,61.25,21.0,Nutty / Woody,High,global
Bourbon 193,spirits/cocktails,Barefoot,62.0,22.0,Sweet,Medium,global
Rye Whiskey 194,spirits/cocktails,Robert Mondavi,62.75,23.0,Spicy,High,global
Gin 195,spirits/cocktails,Kim Crawford,63.5,24.0,Citrusy / Sour,High,global
Gin 196,spirits/cocktails,Crown Royal,64.25,25.0,Herbal / Floral,Medium,global
Scotch 197,spirits/cocktails,Buffalo Trace,65.0,26.0,Smoky,High,global
Cognac 198,wine,Bulleit,65.75,27.0,Rich / Fruity,High,global
Vodka 199,spirits/cocktails,Captain Morgan,66.5,28.0,Dry / Crisp,Medium,global
Aged Bourbon 200,spirits/cocktails,Don Julio,67.25,29.0,Nutty / Woody,High,global
Bourbon 201,spirits/cocktails,Jameson,68.0,30.0,Sweet,High,global
Rye Whiskey 202,spirits/cocktails,Jack Daniel's,68.75,31.0,Spicy,Medium,global
Gin 203,spirits/cocktails,Johnnie Walker,69.5,32.0,Citrusy / Sour,High,global
Gin 204,spirits/cocktails,Glenfiddich,70.25,33.0,Herbal / Floral,High,global
Scotch 205,spirits/cocktails,Gordon's,71.0,34.0,Smoky,Medium,global
Cognac 206,wine,Tanqueray,71.75,35.0,Rich / Fruity,High,global
Vodka 207,spirits/cocktails,Bacardi,72.5,36.0,Dry / Crisp,High,global
Aged Bourbon 208,spirits/cocktails,Patron,73.25,37.0,Nutty / Woody,Medium,global
Bourbon 209,spirits/cocktails,Absolut,74.0,38.0,Sweet,High,global
Rye Whiskey 210,spirits/cocktails,Smirnoff,74.75,39.0,Spicy,High,global
Gin 211,spirits/cocktails,Moet & Chandon,75.5,5.0,Citrusy / Sour,Medium,global
Gin 212,spirits/cocktails,La Marca,76.25,6.0,Herbal / Floral,High,global
Scotch 213,spirits/cocktails,Barefoot,77.0,7.0,Smoky,High,global
Cognac 214,wine,Robert Mondavi,77.75,8.0,Rich / Fruity,Medium,global
Vodka 215,spirits/cocktails,Kim Crawford,78.5,9.0,Dry / Crisp,High,global
Aged Bourbon 216,spirits/cocktails,Crown Royal,79.25,10.0,Nutty / Woody,High,global
Bourbon 217,spirits/cocktails,Buffalo Trace,80.0,11.0,Sweet,Medium,global
Rye Whiskey 218,spirits/cocktails,Bulleit,80.75,12.0,Spicy,High,global
Gin 219,spirits/cocktails,Captain Morgan,81.5,13.0,Citrusy / Sour,High,global
Gin 220,spirits/cocktails,Don Julio,82.25,14.0,Herbal / Floral,Medium,global
Scotch 221,spirits/cocktails,Jameson,83.0,15.0,Smoky,High,global
Cognac 222,wine,Jack Daniel's,83.75,16.0,Rich / Fruity,High,global
Vodka 223,spirits/cocktails,Johnnie Walker,84.5,17.0,Dry / Crisp,Medium,global
Aged Bourbon 224,spirits/cocktails,Glenfiddich,85.25,18.0,Nutty / Woody,High,global
Bourbon 225,spirits/cocktails,Gordon's,86.0,19.0,Sweet,High,global
Rye Whiskey 226,spirits/cocktails,Tanqueray,86.75,20.0,Spicy,Medium,global
Gin 227,spirits/cocktails,Bacardi,87.5,21.0,Citrusy / Sour,High,global
Gin 228,spirits/cocktails,Patron,88.25,22.0,Herbal / Floral,High,global
Scotch 229,spirits/cocktails,Absolut,89.0,23.0,Smoky,Medium,global
Cognac 230,wine,Smirnoff,89.75,24.0,Rich / Fruity,High,global
Vodka 231,spirits/cocktails,Moet & Chandon,90.5,25.0,Dry / Crisp,High,global
Aged Bourbon 232,spirits/cocktails,La Marca,91.25,26.0,Nutty / Woody,Medium,global
Bourbon 233,spirits/cocktails,Barefoot,92.0,27.0,Sweet,High,global
Rye Whiskey 234,spirits/cocktails,Robert Mondavi,92.75,28.0,Spicy,High,global
Gin 235,spirits/cocktails,Kim Crawford,93.5,29.0,Citrusy / Sour,Medium,global
Gin 236,spirits/cocktails,Crown Royal,94.25,30.0,Herbal / Floral,High,global
Scotch 237,spirits/cocktails,Buffalo Trace,95.0,31.0,Smoky,High,global
Cognac 238,wine,Bulleit,95.75,32.0,Rich / Fruity,Medium,global
Vodka 239,spirits/cocktails,Captain Morgan,96.5,33.0,Dry / Crisp,High,global
Aged Bourbon 240,spirits/cocktails,Don Julio,97.25,34.0,Nutty / Woody,High,global
Bourbon 241,spirits/cocktails,Jameson,8.0,35.0,Sweet,Medium,global
Rye Whiskey 242,spirits/cocktails,Jack Daniel's,8.75,36.0,Spicy,High,global
Gin 243,spirits/cocktails,Johnnie Walker,9.5,37.0,Citrusy / Sour,High,global
Gin 244,spirits/cocktails,Glenfiddich,10.25,38.0,Herbal / Floral,Medium,global
Scotch 245,spirits/cocktails,Gordon's,11.0,39.0,Smoky,High,global
Cognac 246,wine,Tanqueray,11.75,5.0,Rich / Fruity,High,global
Vodka 247,spirits/cocktails,Bacardi,12.5,6.0,Dry / Crisp,Medium,global
Aged Bourbon 248,spirits/cocktails,Patron,13.25,7.0,Nutty / Woody,High,global
Bourbon 249,spirits/cocktails,Absolut,14.0,8.0,Sweet,High,global
Rye Whiskey 250,spirits/cocktails,Smirnoff,14.75,9.0,Spicy,Medium,global
Gin 251,spirits/cocktails,Moet & Chandon,15.5,10.0,Citrusy / Sour,High,global
Gin 252,spirits/cocktails,La Marca,16.25,11.0,Herbal / Floral,High,global
Scotch 253,spirits/cocktails,Barefoot,17.0,12.0,Smoky,Medium,global
Cognac 254,wine,Robert Mondavi,17.75,13.0,Rich / Fruity,High,global
Vodka 255,spirits/cocktails,Kim Crawford,18.5,14.0,Dry / Crisp,High,global
Aged Bourbon 256,spirits/cocktails,Crown Royal,19.25,15.0,Nutty / Woody,Medium,global
Bourbon 257,spirits/cocktails,Buffalo Trace,20.0,16.0,Sweet,High,global
Rye Whiskey 258,spirits/cocktails,Bulleit,20.75,17.0,Spicy,High,global
Gin 259,spirits/cocktails,Captain Morgan,21.5,18.0,Citrusy / Sour,Medium,global
Gin 260,spirits/cocktails,Don Julio,22.25,19.0,Herbal / Floral,High,global
Scotch 261,spirits/cocktails,Jameson,23.0,20.0,Smoky,High,global
Cognac 262,wine,Jack Daniel's,23.75,21.0,Rich / Fruity,Medium,global
Vodka 263,spirits/cocktails,Johnnie Walker,24.5,22.0,Dry / Crisp,High,global
Aged Bourbon 264,spirits/cocktails,Glenfiddich,25.25,23.0,Nutty / Woody,High,global
Bourbon 265,spirits/cocktails,Gordon's,26.0,24.0,Sweet,Medium,global
Rye Whiskey 266,spirits/cocktails,Tanqueray,26.75,25.0,Spicy,High,global
Gin 267,spirits/cocktails,Bacardi,27.5,26.0,Citrusy / Sour,High,global
Gin 268,spirits/cocktails,Patron,28.25,27.0,Herbal / Floral,Medium,global
Scotch 269,spirits/cocktails,Absolut,29.0,28.0,Smoky,High,global
Cognac 270,wine,Smirnoff,29.75,29.0,Rich / Fruity,High,global
Vodka 271,spirits/cocktails,Moet & Chandon,30.5,30.0,Dry / Crisp,Medium,global
Aged Bourbon 272,spirits/cocktails,La Marca,31.25,31.0,Nutty / Woody,High,global
Bourbon 273,spirits/cocktails,Barefoot,32.0,32.0,Sweet,High,global
Rye Whiskey 274,spirits/cocktails,Robert Mondavi,32.75,33.0,Spicy,Medium,global
Gin 275,spirits/cocktails,Kim Crawford,33.5,34.0,Citrusy / Sour,High,global
Gin 276,spirits/cocktails,Crown Royal,34.25,35.0,Herbal / Floral,High,global
Scotch 277,spirits/cocktails,Buffalo Trace,35.0,36.0,Smoky,Medium,global
Cognac 278,wine,Bulleit,35.75,37.0,Rich / Fruity,High,global
Vodka 279,spirits/cocktails,Captain Morgan,36.5,38.0,Dry / Crisp,High,global
Aged Bourbon 280,spirits/cocktails,Don Julio,37.25,39.0,Nutty / Woody,Medium,global
Bourbon 281,spirits/cocktails,Jameson,38.0,5.0,Sweet,High,global
Rye Whiskey 282,spirits/cocktails,Jack Daniel's,38.75,6.0,Spicy,High,global
Gin 283,spirits/cocktails,Johnnie Walker,39.5,7.0,Citrusy / Sour,Medium,global
Gin 284,spirits/cocktails,Glenfiddich,40.25,8.0,Herbal / Floral,High,global
Scotch 285,spirits/cocktails,Gordon's,41.0,9.0,Smoky,High,global
Cognac 286,wine,Tanqueray,41.75,10.0,Rich / Fruity,Medium,global
Vodka 287,spirits/cocktails,Bacardi,42.5,11.0,Dry / Crisp,High,global
Aged Bourbon 288,spirits/cocktails,Patron,43.25,12.0,Nutty / Woody,High,global
Bourbon 289,spirits/cocktails,Absolut,44.0,13.0,Sweet,Medium,global
Rye Whiskey 290,spirits/cocktails,Smirnoff,44.75,14.0,Spicy,High,global
Gin 291,spirits/cocktails,Moet & Chandon,45.5,15.0,Citrusy / Sour,High,global
Gin 292,spirits/cocktails,La Marca,46.25,16.0,Herbal / Floral,Medium,global
Scotch 293,spirits/cocktails,Barefoot,47.0,17.0,Smoky,High,global
Cognac 294,wine,Robert Mondavi,47.75,18.0,Rich / Fruity,High,global
Vodka 295,spirits/cocktails,Kim Crawford,48.5,19.0,Dry / Crisp,Medium,global
Aged Bourbon 296,spirits/cocktails,Crown Royal,49.25,20.0,Nutty / Woody,High,global
Bourbon 297,spirits/cocktails,Buffalo Trace,50.0,21.0,Sweet,High,global
Rye Whiskey 298,spirits/cocktails,Bulleit,50.75,22.0,Spicy,Medium,global
Gin 299,spirits/cocktails,Captain Morgan,51.5,23.0,Citrusy / Sour,High,global
Gin 300,spirits/cocktails,Don Julio,52.25,24.0,Herbal / Floral,High,global
Scotch 301,spirits/cocktails,Jameson,53.0,25.0,Smoky,Medium,global
Cognac 302,wine,Jack Daniel's,53.75,26.0,Rich / Fruity,High,global
Vodka 303,spirits/cocktails,Johnnie Walker,54.5,27.0,Dry / Crisp,High,global
Aged Bourbon 304,spirits/cocktails,Glenfiddich,55.25,28.0,Nutty / Woody,Medium,global
Bourbon 305,spirits/cocktails,Gordon's,56.0,29.0,Sweet,High,global
Rye Whiskey 306,spirits/cocktails,Tanqueray,56.75,30.0,Spicy,High,global
Gin 307,spirits/cocktails,Bacardi,57.5,31.0,Citrusy / Sour,Medium,global
Gin 308,spirits/cocktails,Patron,58.25,32.0,Herbal / Floral,High,global
Scotch 309,spirits/cocktails,Absolut,59.0,33.0,Smoky,High,global
Cognac 310,wine,Smirnoff,59.75,34.0,Rich / Fruity,Medium,global
Vodka 311,spirits/cocktails,Moet & Chandon,60.5,35.0,Dry / Crisp,High,global
Aged Bourbon 312,spirits/cocktails,La Marca,61.25,36.0,Nutty / Woody,High,global
Bourbon 313,spirits/cocktails,Barefoot,62.0,37.0,Sweet,Medium,global
Rye Whiskey 314,spirits/cocktails,Robert Mondavi,62.75,38.0,Spicy,High,global
Gin 315,spirits/cocktails,Kim Crawford,63.5,39.0,Citrusy / Sour,High,global
Gin 316,spirits/cocktails,Crown Royal,64.25,5.0,Herbal / Floral,Medium,global
Scotch 317,spirits/cocktails,Buffalo Trace,65.0,6.0,Smoky,High,global
Cognac 318,wine,Bulleit,65.75,7.0,Rich / Fruity,High,global
Vodka 319,spirits/cocktails,Captain Morgan,66.5,8.0,Dry / Crisp,Medium,global
Aged Bourbon 320,spirits/cocktails,Don Julio,67.25,9.0,Nutty / Woody,High,global
Bourbon 321,spirits/cocktails,Jameson,68.0,10.0,Sweet,High,global
